1-1,Mangrove Cove,9,KONG,
1-2,Shipwreck Shore,9,KONG,
1-A,Zip-Line Shrine,5,KONG,
1-3,Canopy Chaos,7,KONG,3 Puzzles locked by Dixie or Cranky
1-B,Busted Bayou,9,KONG,1 Puzzle locked by Dixie or Cranky
1-4,Trunk Twister,5,KONG,
1-K,Swinger Flinger,5,,
1-Boss,Big Top Bop,,,Pompy the Presumptuous
2-1,Windmill Hills,9,KONG,1 Puzzle locked by ANY Kong
2-2,Mountain Mania,7,KONG,1 Puzzle locked by Dixie or Cranky
2-3,Horn Top Hop,5,KONG,
2-4,Sawmill Thrill,5,KONG,
2-5,Alpine Incline,5,KONG,1 Puzzle locked by Dixie
2-A,Crumble Cavern,7,KONG,
2-B,Rodent Ruckus,5,KONG,
2-6,Wing Ding,5,KONG,1 Puzzle locked by Dixie or Cranky
2-K,Bopopolis,5,,
2-Boss,Mountaintop Tussle,,,Skowl The Startling
3-1,Grassland Groove,9,KONG,
3-2,Baobab Bonanza,7,KONG,1 Puzzle locked by Dixie or Cranky
3-3,Frantic Fields,5,KONG,
3-4,Scorch 'n' Torch,7,KONG,
3-5,Twilight Terror,5,KONG,
3-A,Rickety Rafters,5,KONG,
3-6,Cannon Canyon,5,KONG,
3-B,Bramble Scramble,7,KONG,
3-K,Precarious Pendulums,5,KONG,
3-Boss,Triple Trouble,,,Ba-Boom The Boisterous
4-1,Deep Keep,7,KONG,1 Puzzle locked by ANY Kong
4-A,Rockin' Relics,9,KONG,
4-B,Shoal Atoll,5,KONG,
4-2,High Tide Ride,5,KONG,
4-3,Amiss Abyss,9,KONG,
4-4,Irate Eight,5,KONG,
4-5,Sea Stack Attack,7,KONG,
4-6,Current Capes,5,KONG,1 Puzzle locked by Dixie or Cranky
4-K,Spinning Spines,5,,
4-Boss,Fugu Face-Off,,,Fugu the Frightening
5-1,Harvest Hazards,7,KONG,1 Puzzle Piece locked by Dixie or Cranky
5-2,Reckless Ride,5,KONG,
5-3,Fruity Factory,5,KONG,1 Puzzle Piece locked by Dixie or Cranky
5-A,Beehive Brawl,7,KONG,1 Puzzle locked by Cranky
5-4,Panicky Paddles,9,KONG,
5-5,Jelly Jamboree,7,KONG,
5-B,Jammin Jam',5,KONG,
5-6,Frosty Fruits,5,KONG,
5-K,Platform Problems,5,,
5-Boss,Punch Bowl,,,Bashmaster the Unbreakable
6-1,Homecoming Hijinks,5,KONG,
6-2,Seashore War,5,KONG,
6-3,Aqueduct Assault,5,KONG,
6-4,Blurry Flurry,7,KONG,
6-5,Forest Folly,5,KONG,
6-6,Cliffside Slide,5,KONG,
6-7,Frozen Frenzy,5,KONG,
6-A,Dynamite Dash,5,KONG,
6-B,Icicle Arsenal,7,KONG,
6-8,Meltdown Mayhem,5,KONG,
6-K,Slippery Spikes,5,,
6-Boss,Volcano Dome,,,Lord Fredrik The Snowmad King
7-1,Levitation Station,5,,
7-2,Rocket Rails,5,,
7-3,Crazy Clouds,5,,